Genre,Movie Name,Year,Rating,Votes,Type,Detail/Main Story,Metascore
Adventure,1. Echo,2023?2024,6.1?(24K),"Votes23,699",TV Mini Series,"Maya Lopez must face her past, reconnect with her Native American roots and embrace the meaning of family and community if she ever hopes to move forward.",
Adventure,2. Society of the Snow,2023,7.9?(64K),"Votes64,320",,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.,72
Adventure,3. Percy Jackson and the Olympians,2023?,7.4?(18K),"Votes18,020",TV Series,Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods.,
Adventure,4. Game of Thrones,2011?2019,9.2?(2.2M),"Votes2,247,841",TV Series,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.",
Adventure,5. Napoleon,2023,6.5?(95K),"Votes95,398",,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",64
Adventure,6. Monarch: Legacy of Monsters,2023?,7.0?(28K),"Votes27,761",TV Series,"Set after the battle between Godzilla and the Titans, revealing that monsters are real, follows one family's journey to uncover its buried secrets and a legacy linking them to Monarch.",
Adventure,7. Wonka,2023,7.2?(73K),"Votes72,695",,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",66
Adventure,8. Barbie,2023,6.9?(472K),"Votes471,767",,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",80
Adventure,9. Doctor Who,2005?,8.6?(244K),"Votes243,720",TV Series,The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.,
Adventure,10. Rebel Moon - Part One: A Child of Fire,2023,5.6?(92K),"Votes91,753",,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",31
Adventure,11. The Marvels,2023,5.6?(79K),"Votes79,347",,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",50
Adventure,12. The Creator,2023,6.8?(124K),"Votes123,913",,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.",63
